id,priority,company,city_or_region,role_lane,contact_email,whatsapp,source_url,source_type,contact_type,source_checked_at,enabled,fit_reason
saudi-event-management,A,"Saudi Event Management","Riyadh / Jeddah / AlUla / Dammam","Event production / venue operations",careers@saudieventmanagement.com,966539388072,https://saudieventmanagement.com/about/careers,official_website,careers_email,2026-09-11,yes,"Spontaneous applications for producers and corporate event logistics across KSA"
xora,A,"Xora Events",Riyadh,"Event coordinator / operations",careers@xora.sa,,https://xoraevents.com/en/careers,official_website,careers_email,2026-09-11,yes,"Current Event Coordinator and Events Operations roles"
eventful-group,A,"Eventful Group","Riyadh / Jeddah / Eastern Province","Event operations / expert event operator",hr+careers@eventful.sa,,https://group.eventful.sa/careers,official_website,careers_email,2026-09-11,yes,"Explicit Event Operations and Expert Event Operator openings"
evolution-services,A,"Evolution Services","Saudi Arabia / GCC","Project management / event operations / logistics",hello@evolutionservices.sa,,https://en.evolutionservices.sa/careers,official_website,company_email,2026-09-11,yes,"Recruits across event operations, production, logistics, warehousing, and site infrastructure"
aac,A,"AAC", "Jeddah / Riyadh / Dammam","Conference operations / staffing / logistics",info@aac.sa,966540459902,https://aac.sa/,official_website,company_email,2026-09-11,yes,"Event staffing, conference management, hospitality, and logistics"
eveforceksa,A,"EveForceKSA",Riyadh,"Event operations / staffing / on-ground coordination",team@eveforceksa.com,966568747589,https://www.eveforceksa.com/,official_website,company_email,2026-09-11,yes,"Event organizing, staffing, and on-ground coordination; accepts freelancer interest"
eventia,A,"Eventia Event",Riyadh,"Event management / production",hello@eventiaevents.com,966561581968,https://www.eventiaevents.com/careers/,official_website,company_email,2026-09-11,yes,"Careers page invites applications for event and experience roles"
crown-events,A,"The Crown Events Staffing",Riyadh,"Event staffing / guest operations",info@crowneve.com,966557335377,https://crowneve.com/,official_website,company_email,2026-09-11,yes,"Saudi event staffing network with a Join The Crown Family pathway"
mag-events,A,"MAG Events","Saudi Arabia","Field supervision / event operations",hamid@magevents.sa,966543449163,https://magevents.sa/,official_website,public_business_contact,2026-09-11,yes,"Recruitment, manpower, field supervision, and event operations"
yax,A,"YAX",Riyadh,"Event operations / guest management / logistics",connect@yax.sa,966555151267,https://projects.yax.sa/connect,official_website,company_email,2026-09-11,yes,"Operations, coordinators, staff managers, and logistics roles in the talent network"
tahaluf,A,"Tahaluf",Riyadh,"Project manager activations / event operations",,,https://tahaluf.com/join-our-team,official_website,careers_page,2026-09-11,yes,"Current Riyadh Project Manager - Activations opening and talent community"
dmg-events,A,"dmg events","Riyadh / Jeddah","Exhibition operations / event production",recruitme@dmgevents.com,,https://www.dmgevents.com/careers,official_website,careers_email,2026-09-11,yes,"Saudi exhibition organizer with Riyadh and Jeddah operations"
al-sunaidi-expo,A,"Al Sunaidi Expo",Jeddah,"Exhibition operations / conference delivery",info@sunaidiexpo.com,966126672653,https://www.sunaidiexpo.com/contact,official_website,company_email,2026-09-11,yes,"Saudi exhibition and conference organizer with direct contact and careers link"
shine-event-staffing,A,"Shine Event Staffing","Saudi Arabia","Event staffing / event-day coordination",hello@letsshineksa.com,,https://careers.letsshineksa.com/,official_website,careers_email,2026-09-11,yes,"Active community and flexible project pathway for Saudi events"
xenial-events,B,"Xenial Events","Riyadh / GCC","Event staffing / permits / production",contact@xenialevents.com,,https://xenialevents.com/contact,official_website,company_email,2026-09-11,yes,"KSA office and freelancer pathway across staffing, IT, permits, and production"
stamina,B,"STAMiNA",Riyadh,"Event management / guest operations",,,https://stamina.sa/,official_website,careers_page,2026-09-11,yes,"Saudi event management company with a careers section and large-event delivery"
heights,B,"Heights",Riyadh,"Event operations / experience delivery",,,https://ha.com.sa/en/careers,official_website,careers_page,2026-09-11,yes,"Riyadh events and experiences company with a careers page"
eventador,B,"Eventador","Jeddah / Riyadh / Dammam","Event production / exhibitions / activations",info@eventadorsa.com,966544744160,https://eventadorsa.com/,official_website,company_email,2026-09-11,yes,"End-to-end event management, exhibitions, activations, and logistics"
eventa,B,"Eventa","Saudi Arabia","Event production / exhibition build",info@eventa.com.sa,966530266688,https://eventa.com.sa/,official_website,company_email,2026-09-11,yes,"Event and conference management plus exhibition stand production"
the-touch,B,"The Touch Brand Engagement",Jeddah,"Production / experiential delivery",info@thetouch.sa,966567069088,https://thetouch.sa/careers/,official_website,company_email,2026-09-11,yes,"Integrated production house with an explicit careers page"
